,O3_avg,O3_avg,NO2_avg,NO2_avg,SO2_avg,SO2_avg
,zero,m,zero,m,zero,m
id,,,,,,
14,1773.4989348011541,2.1010334194197582,228.84484169851285,-0.071847560439784686,-76.931453334144862,-0.18795634931130492
46,1693.8159381667863,3.2001958204804049,216.84149206348806,-0.62305096500822732,-48.292581660490477,-2.6882222499273376
99,,,,,,
22,-134.60051755180797,0.72302515235977083,207.58651500244446,2.5224984747097068,-54.718267863583335,44.624463346839384
80,550.42547018152447,1.4458257444416041,189.43285723382519,-0.83439772670325274,-39.86190160644675,6.7448673193354418
83,643.93119201295951,1.4945273750054779,157.15388586233158,-0.61866886620063322,-44.68277057014955,8.3671947655234078
92,686.44264363806656,0.92201079741730485,269.09835190286663,-0.78275418218597703,-53.458295181513328,0.30364512944507255
98,589.49262693102935,0.85731876066759904,271.44609673490663,26.105905594079204,-44.27681053058334,15.688576106399507
109,1181.074087035,6.3357140142784374,168.55813233216668,-8.0052086455053999,-370.44414968633339,0.0
72,640.92813001600007,2.788556190389107,189.88149694665535,-1.0847506975576404,-42.579761785995835,8.0879452829082723
70,,,,,,
94,583.13866836447721,0.95769691686890568,190.18439409407577,-0.42364205987387427,-44.940136764951511,8.3089457162311486
67,1503.9733688389774,4.263382160761453,173.94761884481107,0.31796246709000769,-41.67802105225492,9.3537547396179956
79,656.24449493702343,2.0411834405656482,154.44711010453878,-0.80778634382277215,-40.277626766462397,9.4518868363018012
71,,,,,,
87,599.57713595843745,1.704259372227098,199.60764513561978,-0.68282799027699659,-40.306065271323952,13.100793978243985
93,36.485870566559626,-0.65663070017205738,221.96969157148811,-7.8236497808598342,-45.866379268339998,2.8810410832403113
106,1102.4353640452271,3.0607523748130561,186.96005153251895,-0.81754119355251165,-45.380542851607188,9.2487088040587757
104,1468.3843828205952,2.9838100161688694,233.29138848808341,-0.38101731092306151,-45.248632050295235,15.126146561484893
78,643.08911220992309,1.7060495539909522,128.16160967378204,-0.515037684227591,-41.759366878101275,9.8759419600256901
91,597.71489835696877,1.3917834144643237,358.45477688253328,-19.256279613080483,-43.565525342692709,15.273455617221162
82,1565.3031675100001,3.6889082899375465,189.04417305156144,-0.44951429796028058,-36.385056908662278,9.888064795377602
